id;text;target;label;title;university;author;nokia_score;link;nokia_reasons
1;"Tuotekehitysprosessin lanseerausvaihe : case: kardiovaskulaariset harjoitusvälineet In this thesis, a launch process plan for product development was created for the commissioning company, Ab HUR Oy, a manufacturer of medical devices. The theoretical framework of the study was based on literature and recent research focusing specifically on the launch of medical devices. Four key personnel from the commissioning company were identified and interviewed to gain insight into their experiences and to ensure the suitability of the work.

Following the development of the theoretical framework and the interviews, the actual launch plan was created. It is divided into three parts. The first part covers the preliminary information on the launch, and the second part outlines the launch requirements by department. These requirements are based on key factors identified in the source materials. The first and second parts are designed as forms with fillable fields. The third part is the actual launch plan, where the planner can freely describe the phases, requirements, and schedules of the launch process, using the first two parts as support.

The completed launch plan was presented to the commissioning company, and after improvements based on their feedback, the plan was used in a case example involving the planning of a product launch for certain cardio products.";0;NO_INDICATION_OF_COLLABORATION;Tuotekehitysprosessin lanseerausvaihe : case: kardiovaskulaariset harjoitusvälineet;Centria UAS;Karhula, Juho;0;https://www.theseus.fi/handle/10024/910062;"[""No Nokia mention""]"
2;"Knowledge transfer between universities and working life : a case study of Centria Well-being and Health RDI team This study examined knowledge transfer between universities and working life using Centria’s Well-being and Health Research, Development and Innovation team as case study. The study objectives include the review of the existing knowledge transfer methods being used by Centria’s Wellbeing and Health team. The second objective was to analyse the impact of Centria knowledge transfer on stake-holders in the region. The third objective aimed at developing a structured framework on knowledge transfer tailored to Centria’s Wellbeing and Health team. The theoretical framework focuses on knowledge management theories with specific emphasis on knowledge-based view on Socialization, Externalization, Combination, and Internalization models. 

The research data was collected through three surveys that were conducted through Centria’s Webro-pol. Two of the surveys were administered to Centria’s Wellbeing and Health RDI team members, while the third survey was administered to the collaborating organizations and Centria students. The findings show that the RDI team is using diverse methods or channels for its knowledge transfer ac-tivities. However, the findings also reveal that the majority of the respondents concur that the current knowledge transfer framework of Centria’s Wellbeing and Health RDI team does not sufficiently meet the team’s objectives. 

Furthermore, the findings equally show that majority of the respondents agreed that Centria’s Well-being and Health RDI team knowledge transfer methods have led to significant improvements in re-gional health and in organizations outcomes. In conclusion, knowledge transfer between Centria’s Wellbeing and Health RDI team and the relevant stakeholders has made a remarkable impact on re-gional health outcomes. However, introducing a structured framework for knowledge-sharing will increase the effectiveness of the collaboration between the team and its stakeholders. 

Finally, based on the research findings, recommendations were made, and a mixed Socialization, Ex-ternalization, Combination, Internalization and Knowledge Based View model was proposed for Cen-tria’s Wellbeing and Health RDI team as a structured framework for its knowledge transfer activities.";0;NO_INDICATION_OF_COLLABORATION;Knowledge transfer between universities and working life : a case study of Centria Well-being and Health RDI team;Centria UAS;Olorunnishola, Florence Yemisi;0;https://www.theseus.fi/handle/10024/892658;"[""No Nokia mention""]"
3;Hankintatoiminnan merkitys osana yritystoimintaa : kustannustehokas hankintatoimi The aim of this thesis was to study the meaning of procurement in business. The purpose of this thesis was to study the effects of procurement in business and to find out what procurement is and how it is implemented. An interview form was prepared for a company, whose name is kept in secret at their request. This thesis includes a secret appendix. The research questions extensively cover various aspects of procurement that affect the company’s results. The thesis starts with a theory section, where I discuss procurement as extensively as possible by dividing the whole into smaller parts. The research questions in this thesis are ”What is procurement?” ”How is procurement managed, implemented and monitored?” Procurement was selected as the topic of the thesis because it has major impacts on business and the topic already interested me in the procurement course.;0;NO_INDICATION_OF_COLLABORATION;Hankintatoiminnan merkitys osana yritystoimintaa : kustannustehokas hankintatoimi;Centria UAS;Heinonen, Samuli;0;https://www.theseus.fi/handle/10024/888377;"[""No Nokia mention""]"
4;"Tekoäly musiikin oppimisessa ja luovuudessa : teoreettinen viitekehys tekoälyn vaikutuksista musiikin oppimiseen ja luovuuteen This thesis explored the application of artificial intelligence (AI) in music education, examining its potential effects and challenges. The study aimed to investigate how AI could be utilized in music teaching and how educators and learners might incorporate AI-based tools into the learning process and creative work.

AI has introduced new ways to learn, teach, and create music. However, it still faces numerous limitations, including technical constraints, creative boundaries, and challenges related to human interpretation. AI offers promising possibilities for composition, notation, guiding independent practice, and personalizing learning.

The research was based on a literature review and empirical testing, assessing both the general use of AI applications and their potential in music education. The study also evaluates a language model and its suitability for tasks such as developing teaching materials, managing administrative work, and enhancing the learning experience.

The findings indicated that AI can play a versatile role in music education. Applications and language models are particularly useful for creating materials, supporting self-directed learning, aiding composition, and tailoring instruction. However, their use requires critical evaluation and pedagogical consideration.

Challenges in AI adoption include the limitations of applications such as inaccuracies in complex tasks, copyright concerns, and integrating AI with traditional teaching methods. While AI cannot replace teachers, it can serve as a valuable supporting tool. 

This thesis may benefit music educators, students, and musicians seeking to integrate AI into their teaching or creative practice. It provides examples of AI applications and discusses their ethical and pedagogical implications. The topic and its analysis also offer insights for the development of other fields.";0;NO_INDICATION_OF_COLLABORATION;Tekoäly musiikin oppimisessa ja luovuudessa : teoreettinen viitekehys tekoälyn vaikutuksista musiikin oppimiseen ja luovuuteen;Centria UAS;Kivimäki, Ilkka;0;https://www.theseus.fi/handle/10024/893229;"[""No Nokia mention""]"
5;Impact of AI on IT engineers employment in Finland : case Centria UAS This study assesses the dual impact of AI on the Finnish IT job market, specifically analyzing job stability and new employment opportunities for early-career professionals and students at Centria UAS. The survey of 33 respondents found that 54.5% believe that AI will reduce jobs, but 66.7% believe that the demand for AI-skilled engineers is increasing, while only 9.1% approve of Centria UAS preparation, which indicates a lack of AI training, outdated curricula, and limited guidance. The spread of AI technology is opening up new challenges and opportunities, so it is important for educational institutions to reform their curricula, add hands-on training, and offer AI-related courses so that students can gain a competitive advantage by acquiring skills such as machine learning, cybersecurity, and rapid engineering. Therefore, it is important to emphasize technical education and reskilling to address the challenges and opportunities of AI.;0;NO_INDICATION_OF_COLLABORATION;Impact of AI on IT engineers employment in Finland : case Centria UAS;Centria UAS;Islam, MD Shahedul;0;https://www.theseus.fi/handle/10024/888121;"[""No Nokia mention""]"
6;"Sijoitusstrategioiden hyödyntäminen osakemarkkinoilla The aim of this thesis was to investigate how four investment strategies, such as value, growth, quality and dividend strategies, can be applied in the Finnish stock market. The study focused on these well-known strategies, constructing a portfolio of ten stocks and comparing their returns. The OMXH25 Index of the Helsinki Stock Exchange was used as a benchmark for the portfolios. Returns were evaluated using the Sharpe Ratio, which is a widely recognized measure in investment analysis.

The thesis was designed for investors, particularly for beginners, offering accessible content. The theoretical section explores stock investing, market environment, and the strategies studied. The empirical section examined the research background, methods, analysis and the results, conducted entirely in Excel. This study aimed to identify the most profitable strategies in the Finnish stock market and determine the conditions under which each performs best. Additionally, it compared portfolio returns to the OMXH25 Index to assess whether they can outperform the index’s average return.";0;NO_INDICATION_OF_COLLABORATION;Sijoitusstrategioiden hyödyntäminen osakemarkkinoilla;Centria UAS;Rahkola, Siiri;0;https://www.theseus.fi/handle/10024/892702;"[""No Nokia mention""]"
7;"Gospelmusiikki kirkon nuorisotyössä In our thesis, we discuss the history of Finnish gospel chronologically from the 1950s to the 2020s. In addition, we discuss defining what gospel is, and how difficult it is to define what gospel music is in the end. We focused on Finnish spiritual youth music, not church music or worship music. We use the term gospel music because it is established in Finland as a synonym for spiritual youth music. We organized a Gospel-themed event in cooperation with the Mäntsälä parish as part of the young confirmed volunteers education,. We tell about the activities organized at the event and open up why we did the things we did there. In addition, we collected feedback on the event, the results of which we analyzed.

In addition to this, we discuss a little more deeply the career of one important gospel music composer, Pekka Simojoki. At the end of the thesis, we discuss the reasons for the low number of young people listening to gospel music, and the decrease in the number of visitors to Maata Näkyviväsä festival.";0;NO_INDICATION_OF_COLLABORATION;Gospelmusiikki kirkon nuorisotyössä;Centria UAS;"Heikka, Eetu; Korpinen, Olli";0;https://www.theseus.fi/handle/10024/880120;"[""No Nokia mention""]"
8;"An Investigation of the challenges and opportunities facing Nigerian small and medium-sized enterprises in international business : a study of Nigerian small business entrepreneurs in Finland The thesis was written about small business entrepreneurship in Nigeria and the possible challenges and opportunities faced in foreign markets. The aim of the thesis was to examine the nature of relevant to this study and discussed briefly the classical entrepreneurship theories by Joseph Alois Schumpeter, Max Weber and David McClelland, the opportunity-based theories of entrepreneurship by Peter Drucker and Howard Stevenson, resource-based theories of entrepreneurship and the integrated approach to entrepreneurship.

The interview study model was the methodology that was used to gather and analyze primary data for this thesis. The information obtained for the thesis was developed through qualitative research. In addition, secondary sources of data were collected from books, journals, e-books, websites, and online material. The commissioner of the thesis was the Nigerian Association of Small and Medium Scale Enterprises. 

The results revealed that Nigerian small business owners operating in Finland are mostly import and export operators and face numerous challenges despite the significant business opportunities they encounter. This shows that if Nigerian small business owners decide to operate abroad using more less risky international market entry strategies like franchising and licensing, then they will blossom. Even though they would face numerous challenges in the short term, they would overcome and eventually take full advantage of hidden business opportunities in the long run and grow exponentially.";0;NO_INDICATION_OF_COLLABORATION;An Investigation of the challenges and opportunities facing Nigerian small and medium-sized enterprises in international business : a study of Nigerian small business entrepreneurs in Finland;Centria UAS;Ogamode, Gabriel;0;https://www.theseus.fi/handle/10024/894876;"[""No Nokia mention""]"
9;"Arvoketjuanalyysi telojen pinnoitusprosessista The purpose of this thesis was to examine production lead times and their optimization using value stream mapping. The client was Andritz Fabrics and Rolls Oy, a fabric coating factory located in Kerava. The goal was to identify potential bottlenecks in production and investigate whether they could be reduced or otherwise streamlined.

The theoretical framework discusses the stages of the value stream and introduces Lean methods. Lean has been growing in popularity, and many companies are striving to streamline their operations using Lean. By applying Lean principles, a company can achieve greater customer satisfaction by shortening lead times and improving quality.

The practical part examines the lead times for a few high-volume products. Three different rubber grades were selected for the study, with five sample orders for each. The study was conducted by comparing the work phase entries for these orders in the ERP system (SAP) and comparing the results with the stored production documents and the PowerBI-based monitoring tool.

The results show that there is considerable variation in throughput times. Some of the identified waste can be eliminated by streamlining the process, but not all of it can be eliminated with current resources and operating methods. In addition, the analysis highlighted several areas for development
that could improve the consistency and predictability of the process.";0;NO_INDICATION_OF_COLLABORATION;Arvoketjuanalyysi telojen pinnoitusprosessista;Centria UAS;Saari, Jessica;0;https://www.theseus.fi/handle/10024/907272;"[""No Nokia mention""]"
10;"IoT-pohjainen lämmityksen seurantajärjestelmä ikääntyvälle käyttäjälle The subject of this thesis was to design and implement an IoT-based workshop building heating monitoring system for an aging user. The main goal was to develop an easy-to-use system for the needs of an aging user.

The theory part examines project’s IoT solutions, such as sensors, microcontrollers, data transfer and storage. The implementation part examines selecting microcontroller and sensors, programming and building the hardware and designing user interface for needs of an aging user.

As a result, it could be stated that development of the system for needs of an aging user was successful. Overall, the project deepened author’s knowledge of IoT solutions in embedded systems, as well as design of user interface suitable for an aging user.";0;NO_INDICATION_OF_COLLABORATION;IoT-pohjainen lämmityksen seurantajärjestelmä ikääntyvälle käyttäjälle;Centria UAS;Lapinoja, Sami;0;https://www.theseus.fi/handle/10024/911012;"[""No Nokia mention""]"
