title;university;author;date;nokiaScore;link;abstract;isNokiaProject;evidence
Smart Chatbot for Discovering Finnish Theses: A Conversational System Using RAG and Theseus Data;Metropolia UAS;Kharel, Suraj;2025;9;https://theseus.fi/handle/10024/901413;"This thesis presents a conversational chatbot system for discovering Finnish university theses. It is using “Retrieval-Augmented Generation” (RAG) technology. The project was developed during an internship at Nokia Garage Espoo. It integrated into Nokia Stand, a collaborative platform showcasing Nokia and Metropolia University partnerships.

The traditional keyword-based search on Theseus.fi, Finland's national thesis repository, requires exact questions and multiple attempts to find relevant content. This thesis addresses these limitations by implementing a RAG-based chatbot. The chatbot understands semantic meaning and enables natural language interaction, interpreting what users want rather than simply matching keywords.

The system has two main parts. The first part is a mobile app built with React Native. The second part is a backend built with Node.js that uses RAG technology. The backend collects thesis information from Theseus.fi. It then turns this data into vectors using a model called all-MiniLM-L6-v2. The system stores 45 Nokia-related theses in its memory. When users ask questions, the system finds the right theses and creates answers using ready-made templates. This makes the system very fast. It gives answers in less than 0.5 seconds. All development, implementation, and testing were conducted in a local development environment. Testing showed that semantic search successfully retrieves relevant theses regardless of terminology differences, demonstrating that RAG technology improves academic search experiences compared to traditional keyword matching.";YES;The thesis states it was developed during an internship at Nokia Garage Espoo and integrated into Nokia Stand.
Defining an Innovative and Interactive Way to Present Enterprise-University Collaboration;Metropolia UAS;Paunonen, Tomi;2025;5;https://theseus.fi/handle/10024/895247;"The objective of this thesis was to explore how the collaboration between Nokia and Metropolia University of Applied Sciences could be communicated in a more structured and possibly automated way. The original idea was to investigate whether an interactive kiosk-style showcase could be developed using existing data from different collaboration areas.

The work began with a current state analysis that mapped out what kind of collaboration data is available and where it is stored. Early in this phase, it was suspected that the limited public availability of data might be a problem. This was confirmed during the proposal and validation stages, where it became clear that most of the relevant information is either scattered across various platforms or not publicly accessible. As a result, it was concluded that a technical implementation is not feasible at this time.

Instead of a working system, the outcome of this thesis is a structured summary of what information exists under each collaboration category (such as student projects, theses, recruiting events, and research activities), where it can be found, and what kind of content would be valuable to show in a future interactive display. In addition, the thesis outlines detailed system requirements based on the FURPS model, which can be used to support future development if data becomes more centralized and accessible.

Although the originally planned solution could not be implemented, the work still provides a practical foundation and roadmap for future improvements and supports both Nokia and Metropolia in preparing for a more structured way of communicating about their ongoing collaboration.";NO;The text says the thesis explores communication of collaboration between Nokia and Metropolia, but it does not state it was commissioned by, conducted at, or done in collaboration with Nokia.
Development of Nokia’s Internal Testing Tool — Improvement of Message Storing Process;Metropolia UAS;Do, Thai Duc Minh;2023;5;https://theseus.fi/handle/10024/802624;"The purpose of this project is to participate in studying and further developing a functionality of Endeavour, a Nokia proprietary tool, which is used to assist the process of converting monitored logs into test cases for numerous purposes such as troubleshooting. In order to achieve this, the thesis writer was assigned the responsibility to continue developing pre-existing work-in-progress builds.

Due to a considerable time gap between generations of cellular network, there were various challenges during the development of the feature for 5G. One of these challenges was the process of storing messages containing configuration data which is essential for reproducing test cases. 

The initial implementation uses cyclic buffers in conjunction with snapshot files in order to store the required messages. The implementation was prone to several drawbacks such as loss of data from overfilling the cyclic buffer. The final project proposes a solution which is to reorganize the order of writing the messages into the snapshot file. 

As the final results of this project have proven to be positive, this helps clarify the potential of the Endeavour tool. It will consist of reducing the potential workload and effort for working with system component tests, allowing a more thorough investigation of errors from customer logs via the reproduction of a scenario involving the errors.";YES;The thesis develops Endeavour, described as a Nokia proprietary internal testing tool, indicating work done for Nokia’s internal use.
Migration from NoSQL to SQL;Metropolia UAS;Liberman, Daniel;2023;5;https://theseus.fi/handle/10024/799014;"The thesis was under Nokia's premises, and the goal was to research and find methods for migrating from NoSQL to SQL. Moreover, part of the research identifies and analyses flaws in the NoSQL to learn from and act upon when shifting toward the new database. Furthermore, the research should also identify the functionalities of the new database, which would provide efficiency, maintainability, scalability, and security.

The research involves experimenting with different technologies like Python, JavaScript, SQL, and Docker. The programming languages provide the ability to create scripts and analyse the data flow and performance in real-time. Docker simplifies the process of experimenting with new technologies, such as PostgreSQL, as it provides a plug-and-play service to ease the development process.

The migration involves two significant components, NoSQL and SQL databases. Hence, the research splits into three different sections, consisting of an overview of the current state of MongoDB, the migration process, and PostgreSQL as the new database. Each section strives to provide insights into possible ways of structuring and developing toward best practices.

The study provides an overview of the migration process and its outcome. These insights can support others as a guideline for migrating from NoSQL to SQL. Although, each application is an individual case. However, there are core concepts that can assist in simplifying the process. The act of migration assists with the productization of Nokia's project, providing the necessary security, maintainability, and scalability to provide an exceptional product for its customers.";YES;The thesis states it was conducted under Nokia's premises and concerns migration for Nokia's project.
5G Network Deployment;Metropolia UAS;Al-Tuwaijari, Ahmed;2024;1;https://theseus.fi/handle/10024/852100;"The objective of this thesis is to cover the implementation of the 5G network at Metropolia University of Applied Sciences that has been deployed by Nokia with the support of Metropolia's staff members. It also involves the scientific theory behind every implementation process.

The study was based on theoretical resources and publications that cover the theoretical part of the study, while the practical part was based on the practical deployment of the 5G network at Metropolia University, including observation and involvement in the process, as well as meetings and investigation with the experts who contribute to the network deployment.

The result of the study illustrates through the first chapters the properties of the fifth-generation (5G) and the reasons for 5G network deployment, the technologies that 5G uses to obtain these properties, and the different ways and strategies of network deployment. while the last chapters illustrate the practicality of 5G network deployments, including network architecture, design, and hardware setup.

In addition, this thesis is meant to be a documentation of the 5G network implementation. As well as it is to be a valuable resource for the academic understanding and practical implementation of 5G networks for Metropolia University of Applied Sciences.";NO;The thesis documents a 5G deployment at Metropolia that was deployed by Nokia, but it is described as a resource for Metropolia rather than work done for Nokia.
KPI Report Creation and Automated Data Flow to Power BI Platform;Metropolia UAS;Jänkä, Jasmin;2024;1;https://theseus.fi/handle/10024/819669;"One of Nokia’s primary services is the 5G network services. The performance and capability of 5G software packages are measured as Key Performance Indicator (KPI) values. The Nokia Field Verification department has several teams working on 5G testing. These teams use different ways to create reports to show the results of their testing. The process of creating reports currently requires manual work and is impractical. The reporting process needs updating. 

This thesis introduces the new Power BI report for showing data from 5G testing and automated data flow to that report. The project's primary objective was to unify the way of the reporting process among teams. For teams to switch to this new reporting process, the Power BI report must be adaptable and fit every team's purposes.  

The development process was split into two parts. First, the automation was implemented. After successfully transferring data automatically to Power BI the report creation was started. The test data needed some editing for the report purposes, which was done during the project's implementation process.";YES;The abstract states the work was for Nokia Field Verification department teams and developed their internal 5G KPI reporting process.
Development of System Component Testing Tool Endeavour for New Message Format;Metropolia UAS;Salo, Eelis;2023;1;https://theseus.fi/handle/10024/805471;"Software testing takes a lot of time and resources, so any improvements to testing are important. Therefore, Nokia was investigating an internal software testing tool Endeavour for system component testing in 5G. The goal of this final year project was to create an adapter for a new message format for Endeavour.

This thesis goes through development of Endeavour for this message format. A new C++ adapter was created for the message format. The adapter could then be used in a component by instrumenting it in code to communicate with Endeavour.

The development of the adapter consisted of designing a JSON format for it and adapting the message objects’ internal protobuf into JSON and vice versa while keeping the creation of test message JSONs light for the testers.

In conclusion, an adapter was created for Endeavour for a new message format. Endeavour could then be used to create test cases containing messages in this new format. Endeavour and the adapter were then taken into preliminary pilot use.";YES;The thesis states that Nokia investigated the usability of its internal testing tool Endeavour for 5G and the project developed a new adapter for that tool.
5G Cloud RAN ja sen järjestelmätestaus;Metropolia UAS;Soronen, Eetu;2024;0;https://theseus.fi/handle/10024/851134;"Oppinäytetyön tavoitteena on antaa korkean tason selitys siitä, mitä Cloud RAN on ja miten se kehittää 5G-radioliityntäverkkoja eteenpäin. Työssä tarkastellaan, mitä haasteita perinteisissä 5G-verkoissa on esiintynyt ja miten näitä pyritään lievittämään ja ratkomaan tuomalla tavanomaisista datakeskuksista tutut pilvityökalut ja -teknologiat, kuten virtualisointi, palveluiden ja laitteiston hajauttaminen sekä avoimet rajapinnat osaksi mobiiliverkkoja.

Ennen Cloud RAN:ia työssä tarkastellaan perinteisiä 5G-radioliityntäverkkoja ja katsotaan, miten 5G-standardi on kehitetty ja miten Open RAN -hanke laajentaa tätä standardia tuotteeksi, jota Nokialla ja Ericssonilla kutsutaan Cloud RAN:iksi ja Samsungilla vRAN:iksi. Erityisesti työssä katsotaan vielä Nokian Cloud RAN -konfiguraatioita ja sitä, miten nämä eroavat kilpailevista tuotteista.

Cloud RAN:in arkkitehtuurin jälkeen työssä tarkastellaan sen järjestelmätestausta, ja millaisia mobiiliverkoille sekä pilviteknologialle ominaisia haasteita siinä on. Tämän yhteydessä käydään läpi Nokian omia testiautomaatiotyökaluja, joiden suoriutumiskyvyistä tehtävissään annetaan myös arvio.

Lopuksi annetaan lyhyt kuvaus Cloud RAN:in tulevaisuudesta, yli 5G:n elinkaareen kohti tulevia 6G-radioliityntäverkkoja.";NO;The thesis discusses Nokia's Cloud RAN and Nokia tools, but no evidence shows it was commissioned by, done with, or carried out at Nokia.
Developing and improving 5G telecom message traces software for a DU component;Metropolia UAS;Yang, Dongbin;2025;0;https://theseus.fi/handle/10024/884475;"The goal of this study was to continue developing a message tracing and debugging tool for a distributed unit component - Cp-rt, which could support the Cp-rt component and improve message sequence tracking, enable system analysis and reduce debugging time. 

The study was conducted by an inductive approach for an internal project in case company. The project under a distributed unit context focused on the development of a tool- Endeavour, which is a graphical user interface-based test framework and was developed inhouse for 3G technology and several principles and features were also incorporated into the development of 5G. The development of Endeavour, however, was only manipulated in the distributed unit. The assumption of study is to convert messages into corresponding format and display its sequential flow chart in the Endeavour.

The study covered the software design and implementation of necessary modifications, including message format conversion, protocol handling, and synchronization between Cp-rt and other 5G components. Key developments include the automation of protocol file generation, improved message serialization, and enhanced system compatibility. 

The study found that Endeavour tool could be capable of handling new messages in the distributed unit using well-designed software plan, and considering the compatibility with other units in the 5G system. However, the challenges remain in areas such as synchronization, message parsing, and scalability. Such peer development merely lays the groundwork for optimization and ensures that the Endeavour framework continues to support evolving 5G network requirements.";NO;The text only says the work was for an internal project in an unnamed case company and does not identify Nokia.
Automation and Improvement of Software Development with GitLab CI Pipelines;Metropolia UAS;Kumpulainen, Ville;2023;0;https://theseus.fi/handle/10024/802011;"In-depth investigation and optimization of a software development pipeline using GitLab CI for Software Z. The primary objective was to improve the pipeline by incorporating automated code testing to address essential security requirements and streamline the release process. A comparative analysis of various pipeline management solutions was conducted, leading to the selection of GitLab CI as the most suitable option.

The study involved the integration of static code analyzers, such as SonarQube and Coverity, into the production pipeline. Cypress was introduced as the main end-to-end (E2E) testing solution after comparing it with other testing frameworks. The pipeline was further optimized by automating release procedures to reduce human intervention.

The improved pipeline ensures that new features undergo thorough testing and security scanning, generating reports in the event of detected vulnerabilities. The findings provide valuable insights and best practices in pipeline management, addressing modularity, security, and continuous improvement. Future work will focus on integrating dynamic and static application security testing tools, such as Invicti and Semgrep, as well as investigating the potential of AI and machine learning in CI/CD, serverless architecture, and the role of DevOps and GitOps in software development. This study contributes to the field by offering an optimized pipeline model that effectively addresses security concerns and streamlines the software development process.";YES;The thesis explicitly states it aimed to optimize Software Z for Nokia and serve as a basis for further optimization of Nokia’s software development processes.
